,name,affiliation,time_start,time_end
0,Niels ten Oever,ARTICLE 19,2015-01-23 15:07:28+00:00,2015-11-30 13:11:03+00:00
1,avri doria,avri doria,2015-01-23 15:07:28+00:00,2019-07-23 20:10:11+00:00
2,avri doria,ICANN,2017-11-01 00:00:00+00:00,2019-07-23 20:10:11+00:00
3,avri doria,APC,2015-01-23 15:07:28+00:00,2019-07-23 20:10:11+00:00
4,Mallory Knodel,ARTICLE 19,2018-08-16 06:36:25+00:00,2020-02-01 00:00:00+00:00
5,Mallory Knodel,CDT,2020-02-01 00:00:00+00:00,2025-01-30 10:29:57.330066+00:00
6,Sofia Celi,Brave,2022-05-01 00:00:00+00:00,2025-01-30 10:29:57.330172+00:00
