,name,affiliation,time_start,time_end
0,Peter Koch,DENIC,2011-12-09 20:00:00+00:00,2013-03-13 22:38:02+00:00
1,Benno Overeinder,NLnet Labs,2018-04-11 23:55:46+00:00,2024-10-11 15:02:34.416642+00:00
2,Suzanne Woolf,Public Interest Registry,2019-05-01 00:00:00+00:00,2024-10-11 15:02:34.417187+00:00
3,Suzanne Woolf,Internet Infrastructure Technology and Policy (consulting) ,2014-04-01 00:00:00+00:00,2024-10-11 15:02:34.417188+00:00
4,Tim Wicinski,AOL,2013-03-13 22:38:02+00:00,2014-01-01 00:00:00+00:00
5,Tim Wicinski,Salesforce,2014-01-01 00:00:00+00:00,2020-03-01 00:00:00+00:00
6,Tim Wicinski,Cox Communications,2021-05-01 00:00:00+00:00,2024-10-11 15:02:34.417217+00:00
