,name,affiliation,time_start,time_end
0,Richard Barnes,Meta,2021-10-07 17:26:48+00:00,2024-12-05 15:28:02.655958+00:00
1,Richard Barnes,U.S. Department of Energy (DOE),2021-10-07 17:26:48+00:00,2024-12-05 15:28:02.655964+00:00
2,Shivan Kaul Sahib,Brave Software,2021-10-07 17:26:48+00:00,2024-12-05 15:28:02.655977+00:00
