,working_group,href,name,affiliation,time_start,time_end
0,ig/privacy,https://api.w3.org/groups/ig/privacy/charters/124,Christine Runnegar,Internet Society ,2012-02-17,2019-09-30
1,ig/privacy,https://api.w3.org/groups/ig/privacy/charters/124,Tara Whalen,Google,2012-02-17,2019-09-30
2,ig/privacy,https://api.w3.org/groups/ig/privacy/charters/381,Christine Runnegar,W3C Invited Expert ,2019-10-04,2024-02-29
3,ig/privacy,https://api.w3.org/groups/ig/privacy/charters/381,Peter Snyder,Brave,2019-10-04,2024-02-29
4,ig/privacy,https://api.w3.org/groups/ig/privacy/charters/381,Nick Doty,Center for Democracy ,2019-10-04,2024-02-29
