,name,affiliation,time_start,time_end
0,Nick Sullivan,IRTF,2019-05-01 00:00:00+00:00,2025-03-24 15:15:11.486747+00:00
1,Nick Sullivan,Cryptography Consulting LLC,2019-01-01 00:00:00+00:00,2025-03-24 15:15:11.486752+00:00
2,Nick Sullivan,Cloudflare,2018-03-01 15:51:33+00:00,2024-01-01 00:00:00+00:00
3,Sean Turner,Swiftly,2018-03-01 04:04:42+00:00,2025-03-24 15:15:11.486873+00:00
4,Sean Turner,Forbes Technology Council,2022-03-01 00:00:00+00:00,2025-03-24 15:15:11.486878+00:00
