,name,affiliation,time_start,time_end
0,Brian Haberman,Salesforce,2017-07-03 16:03:38+00:00,2025-04-23 12:50:29.178061+00:00
1,Tim Wicinski,Cox Communications,2021-05-01 00:00:00+00:00,2025-04-23 12:50:29.178079+00:00
2,Tim Wicinski,Salesforce,2014-10-02 16:09:39+00:00,2020-03-01 00:00:00+00:00
