,name,affiliation,time_start,time_end
0,Brian Trammell,ETH Zurich,2017-06-09 19:53:50+00:00,2019-01-01 00:00:00+00:00
1,Brian Trammell,Google,2019-03-01 00:00:00+00:00,2025-04-23 12:52:26.110402+00:00
2,Jen Linkova,Google,2017-06-09 19:53:50+00:00,2025-04-23 12:52:26.110419+00:00
