,name,affiliation,time_start,time_end
0,Russ Housley,"Vigil Security, LLC",2016-06-30 15:00:40+00:00,2024-10-11 15:02:34.477697+00:00
1,Tim Hollebeek,"DigiCert, Inc.",2018-05-01 13:10:20+00:00,2024-10-11 15:02:34.477713+00:00
