,name,affiliation,time_start,time_end
0,Melinda Shore,Fastly,2017-09-22 02:18:56+00:00,2018-10-24 23:03:24+00:00
1,Lixia Zhang,UCLA,2021-04-26 20:47:25+00:00,2025-03-24 15:16:10.125814+00:00
