Date,W3C,sn3rd llc,The New York Times,Meta,IAB Tech Lab,Google,Anonym,51Degrees,Raptive,ID5.io,achapell chapellassociates.com,eyeo
2021-12-31 00:00:00+00:00,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31 00:00:00+00:00,1526.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-12-31 00:00:00+00:00,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
