,id,country,affiliation,draft,title,submission_date,wg,docid
116,118295,Hungary,Ericsson,draft-ietf-detnet-tsn-vpn-over-mpls-07,Deterministic Networking (DetNet) Data Plane: IEEE 802.1 Time-Sensitive Networking over MPLS,2021-06-01,detnet,RFC9024
117,3844,,Malis Consulting,draft-ietf-detnet-tsn-vpn-over-mpls-07,Deterministic Networking (DetNet) Data Plane: IEEE 802.1 Time-Sensitive Networking over MPLS,2021-06-01,detnet,RFC9024
118,2329,,Huawei Device Co. Ltd,draft-ietf-detnet-tsn-vpn-over-mpls-07,Deterministic Networking (DetNet) Data Plane: IEEE 802.1 Time-Sensitive Networking over MPLS,2021-06-01,detnet,RFC9024
119,120813,,"LabN Consulting, L.L.C.",draft-ietf-detnet-tsn-vpn-over-mpls-07,Deterministic Networking (DetNet) Data Plane: IEEE 802.1 Time-Sensitive Networking over MPLS,2021-06-01,detnet,RFC9024
120,110053,Hungary,Ericsson,draft-ietf-detnet-mpls-over-udp-ip-08,Deterministic Networking (DetNet) Data Plane: MPLS over UDP/IP,2021-04-01,detnet,RFC9025
121,118295,Hungary,Ericsson,draft-ietf-detnet-mpls-over-udp-ip-08,Deterministic Networking (DetNet) Data Plane: MPLS over UDP/IP,2021-04-01,detnet,RFC9025
122,10064,,"LabN Consulting, L.L.C.",draft-ietf-detnet-mpls-over-udp-ip-08,Deterministic Networking (DetNet) Data Plane: MPLS over UDP/IP,2021-04-01,detnet,RFC9025
123,3844,,Malis Consulting,draft-ietf-detnet-mpls-over-udp-ip-08,Deterministic Networking (DetNet) Data Plane: MPLS over UDP/IP,2021-04-01,detnet,RFC9025
124,2329,,Huawei Device Co. Ltd,draft-ietf-detnet-mpls-over-udp-ip-08,Deterministic Networking (DetNet) Data Plane: MPLS over UDP/IP,2021-04-01,detnet,RFC9025
125,110053,Hungary,Ericsson,draft-ietf-detnet-mpls-over-tsn-07,Deterministic Networking (DetNet) Data Plane: MPLS over IEEE 802.1 Time-Sensitive Networking (TSN),2021-06-01,detnet,RFC9037
126,118295,Hungary,Ericsson,draft-ietf-detnet-mpls-over-tsn-07,Deterministic Networking (DetNet) Data Plane: MPLS over IEEE 802.1 Time-Sensitive Networking (TSN),2021-06-01,detnet,RFC9037
127,3844,,Malis Consulting,draft-ietf-detnet-mpls-over-tsn-07,Deterministic Networking (DetNet) Data Plane: MPLS over IEEE 802.1 Time-Sensitive Networking (TSN),2021-06-01,detnet,RFC9037
