,name,affiliation,time_start,time_end
0,Eric Rescorla,Microsoft,2011-12-09 20:00:00+00:00,2011-03-01 00:00:00+00:00
1,Eric Rescorla,Mozilla,2013-07-01 00:00:00+00:00,2014-03-11 23:05:34+00:00
2,Sean Turner,International Electronic Communications Analysts (IECA),2014-03-11 23:05:34+00:00,2016-08-01 00:00:00+00:00
3,Sean Turner,sn3rd llc,2015-08-01 00:00:00+00:00,2024-05-28 21:59:13.392715+00:00
4,Sean Turner,International Electronic Communications Analysts (IECA),2014-03-11 23:05:34+00:00,2016-08-01 00:00:00+00:00
5,Sean Turner,sn3rd llc,2015-08-01 00:00:00+00:00,2024-05-28 21:59:13.392720+00:00
