name,affiliation,datetime_min,datetime_max
Brian Trammell,ETH Zurich,2016-10-04 00:00:00+00:00,2016-08-22 14:50:28+00:00
Lars Eggert,NetApp,2016-10-04 00:00:00+00:00,2018-06-05 08:59:42+00:00
Mark Nottingham,Akami,2016-10-04 03:57:12+00:00,2017-05-01 00:00:00+00:00
Mark Nottingham,Mozilla,2017-05-01 00:00:00+00:00,2017-08-01 00:00:00+00:00
Mark Nottingham,Fastly,2017-08-01 00:00:00+00:00,2020-03-09 11:37:27+00:00
Lars Eggert,Netapp,2018-06-05 09:00:07+00:00,2021-03-10 16:22:51+00:00
Lucas Pardue,Cloudflare,2020-01-15 13:08:17+00:00,2024-04-01 00:00+00:00
Matt Joras,Meta,2021-01-20 15:48:21+00:00,2024-04-01 00:00+00:00
