name,datetime_min,datetime_max,affiliation
Pascal Thubert,2014-11-07 14:21:35+00:00,2014-10-02 16:10:49+00:00,Pascal Thubert
Erik Nordmark,2014-11-07 14:21:35+00:00,2015-02-10 23:27:53+00:00,Erik Nordmark
Jouni Korhonen,2014-11-07 14:21:35+00:00,2015-02-10 23:27:53+00:00,Jouni Korhonen
Patricia Thaler,2015-06-11 19:14:27+00:00,2015-10-05 17:35:35+00:00,Patricia Thaler
Patricia Thaler,2015-02-10 23:27:53+00:00,2017-12-01 18:42:43+00:00,Patricia Thaler
János Farkas,2017-12-01 18:42:43+00:00,2024-01-01 00:00:00+00:00,János Farkas
Lou Berger,2015-02-10 23:27:53+00:00,2024-01-01 00:00:00+00:00,Lou Berger
